code,description,type
Ua14c,Patient Immunocompromised,CTV3
Ua19z,Patient Immunosuppressed,CTV3
5141.,Radiotherapy For Immunosuppression,CTV3
XaM6J,High Cost Immunosuppressant Drugs,CTV3
XaM6P,High Cost Immunosuppressant Drugs Nos,CTV3
XaXUJ,Immunosuppressant Drug Therapy,CTV3
Xa97S,Immunosuppressive Therapy,CTV3
BBmC.,[M] T-Gamma Lymphoproliferative Disease,CTV3
XE11D,Other Specified Disturbance Of Amino Acid Metabolism,CTV3
X40Ua,Adenosine Deaminase Deficiency,CTV3
C391.,Deficiencies Of Cell-Mediated Immunity,CTV3
XE11w,Predominantly T-Cell Immuno-Deficiency Nos,CTV3
XM0BW,Predominantly T-Cell Defect,CTV3
XM0BW,Cell-Mediated Immune Deficiency,CTV3
X20HE,T-Lymphocyte Deficiency,CTV3
C3911,Digeorge Syndrome,CTV3
C3912,Wiskott-Aldrich Syndrome,CTV3
C3912,Wiskott-Aldrich Syndrome,CTV3
C3912,Aldrich Syndrome,CTV3
C392.,Combined T-Cell And B-Cell Immunodeficiency,CTV3
C392.,Severe Combined Immunodeficiency,CTV3
C392.,Severe Combined Immunodeficiency,CTV3
X20HJ,X-Linked Severe Combined Immunodeficiency,CTV3
X20HJ,Agammaglobulinaemia - Swiss Type,CTV3
C3923,Severe Combined Immunodefiency With Reticular Dysgenesis,CTV3
C3924,Severe Combined Immunodeficiency With Low T- And B-Cell Numbers,CTV3
C3925,Severe Combined Immunodeficiency With Low Or Normal B-Cell Numbers,CTV3
X40Ua,Adenosine Deaminase Deficiency,CTV3
X40Uc,Purine Nucleoside Phosphorylase Deficiency,CTV3
C3928,Major Histocompatibility Complex Class I Deficiency,CTV3
C3929,Major Histocompatibility Complex Class Ii Deficiency,CTV3
C392z,Combined Immunity Deficiency Nos,CTV3
C393.,Unspecified Immunity Deficiency,CTV3
X20HK,Immunodeficiency With Short-Limbed Stature,CTV3
C396.,Immunodeficiency Following Hereditary Defective Response To Epstein-Barr Virus,CTV3
Cyu03,"[X]Immunodeficiency Associated With Major Defect, Unspecified",CTV3
C39y0,Lymphocyte Function Antigen-1 Defect,CTV3
Cyu05,[X]Other Specified Immunodeficiency Disorders,CTV3
D2015,Pancytopenia - Acquired,CTV3
XE13v,Pancytopenia Nos,CTV3
XE13v,Pancytopenia Nos,CTV3
X20CO,Pancytopenia With Pancreatitis,CTV3
X20HM,Familial Erythrophagocytic Lymphohistiocytosis,CTV3
X20HM,Familial Erythrophagocytic Lymphohistiocytosis,CTV3
X20HM,Fel - Familial Erythrophagocytic Lymphohistiocytosis,CTV3
F14y0,Ataxia Telangiectasia,CTV3
F14y0,Ataxia Telangiectasia,CTV3
F14y0,Louis-Bar Syndrome,CTV3
XE1oM,Antineoplastic And Immunosuppressive Poisoning,CTV3
Xa4rU,Antineoplastic Poisoning,CTV3
XE1oM,Immunosuppressive Poisoning,CTV3
U6034,[X]Immunosuppressive Agents Causing Adverse Effects In Therapeutic Use,CTV3
TJ31R,Adverse Reaction To Antilymphocyte Immunoglobulin,CTV3
U6034,[X]Immunosuppressive Agents Causing Adverse Effects In Therapeutic Use,CTV3
TJ31Q,Adverse Reaction To Azathioprine,CTV3
U6034,[X]Immunosuppressive Agents Causing Adverse Effects In Therapeutic Use,CTV3
