code,description,type
4C53.,Bone Marrow: Myeloma Cells,CTV3
A7896,Hiv Disease Resulting In Burkitt's Lymphoma,CTV3
A7897,Hiv Dis Resulting Oth Types Of Non-Hodgkin's Lymphoma,CTV3
AyuC6,[X]Hiv Disease Resulting In Other Non-Hodgkin's Lymphoma,CTV3
B6...,Malig Neoplasm Lympha & Haemopoiet Tiss (& [Histiocyt Tiss]),CTV3
B60..,Lymphosarcoma And Reticulosarcoma,CTV3
B600.,Reticulosarcoma,CTV3
B6000,Reticulosarcoma Of Unspecified Site,CTV3
B6001,"Reticulosarcoma Of Lymph Nodes Of Head, Face And Neck",CTV3
B6002,Reticulosarcoma Of Intrathoracic Lymph Nodes,CTV3
B6003,Reticulosarcoma Of Intra-Abdominal Lymph Nodes,CTV3
B6004,Reticulosarcoma Of Lymph Nodes Of Axilla And Upper Limb,CTV3
B6005,Reticulosarcoma Of Lymph Nodes Of Inguinal Region And Leg,CTV3
B6006,Reticulosarcoma Of Intrapelvic Lymph Nodes,CTV3
B6007,Reticulosarcoma Of Spleen,CTV3
B6008,Reticulosarcoma Of Lymph Nodes Of Multiple Sites,CTV3
B600z,Reticulosarcoma Nos,CTV3
B601.,Lymphosarcoma,CTV3
B6010,Lymphosarcoma Of Unspecified Site,CTV3
B6011,"Lymphosarcoma Of Lymph Nodes Of Head, Face And Neck",CTV3
B6012,Lymphosarcoma Of Intrathoracic Lymph Nodes,CTV3
B6013,Lymphosarcoma Of Intra-Abdominal Lymph Nodes,CTV3
B6014,Lymphosarcoma Of Lymph Nodes Of Axilla And Upper Limb,CTV3
B6015,Lymphosarcoma Of Lymph Nodes Of Inguinal Region And Leg,CTV3
B6016,Lymphosarcoma Of Intrapelvic Lymph Nodes,CTV3
B6017,Lymphosarcoma Of Spleen,CTV3
B6018,Lymphosarcoma Of Lymph Nodes Of Multiple Sites,CTV3
B601z,Lymphosarcoma Nos,CTV3
B602.,Burkitt's Lymphoma - Disorder,CTV3
B6020,Burkitt's Lymphoma Of Unspecified Site,CTV3
B6021,"Burkitt's Lymphoma Of Lymph Nodes Of Head, Face And Neck",CTV3
B6022,Burkitt's Lymphoma Of Intrathoracic Lymph Nodes,CTV3
B6023,Burkitt's Lymphoma Of Intra-Abdominal Lymph Nodes,CTV3
B6024,Burkitt's Lymphoma Of Lymph Nodes Of Axilla And Upper Limb,CTV3
B6025,Burkitt's Lymphoma Of Lymph Nodes Of Inguinal Region And Leg,CTV3
B6026,Burkitt's Lymphoma Of Intrapelvic Lymph Nodes,CTV3
B6027,Burkitt's Lymphoma Of Spleen,CTV3
B6028,Burkitt's Lymphoma Of Lymph Nodes Of Multiple Sites,CTV3
B602z,Burkitt's Lymphoma Nos,CTV3
B60y.,Other Specified Reticulosarcoma Or Lymphosarcoma,CTV3
