code,description,type
7K1Q.,Bone Marrow Transplant,CTV3
7K1Q0,Autologous Bone Marrow Transplant,CTV3
7K1Q1,Allograft Of Bone Marrow Nec,CTV3
7K1Qy,Other Specified Graft Of Bone Marrow,CTV3
7K1Qz,Graft Of Bone Marrow Nos,CTV3
X20Bc,Marrow-Treated Bone Marrow Transplant,CTV3
X20Bd,Syngeneic Bone Marrow Transplant,CTV3
X20Be,T-Cell Depleted Allogeneic Bone Marrow Graft,CTV3
X20Bf,Imperfect T-Cell Depleted Allogeneic Bone Marrow Graft,CTV3
X20Bg,Allogeneic Related Bone Marrow Transplant,CTV3
X20Bh,Allogeneic Unrelated Bone Marrow Transplant,CTV3
X20Bi,Haemopoietic Stem Cell Transplant,CTV3
X20Fz,Bone Marrow Transplant Disorder,CTV3
X20G0,Bone Marrow Transplant Rejection,CTV3
X20G1,Bone Marrow Transplant Failure,CTV3
X20G3,Disease Relapse In Transplant Marrow,CTV3
Xa0fK,Peripheral Blood Stem Cell Graft,CTV3
Xa3wp,Injection Of Bone Marrow - Blood Cells,CTV3
Xa8Ry,Allogeneic Bone Marrow Transplant,CTV3
XaKK4,Acute Graft-Versus-Host Disease,CTV3
XaKKM,Chronic Graft-Versus-Host Disease,CTV3
XaM83,Allograft Of Bone Marrow From Sibling Donor,CTV3
XaM84,Allograft Of Bone Marrow From Matched Unrelated Donor,CTV3
XaM85,Allograft Of Bone Marrow From Haploidentical Donor,CTV3
XaMuA,Autologous Peripheral Blood Stem Cell Transplant,CTV3
XaMuB,Syngeneic Peripheral Blood Stem Cell Transplant,CTV3
XaMuC,Allogeneic Peripheral Blood Stem Cell Transplant,CTV3
XaPt6,Allograft Of Bone Marrow From Unmatched Unrelated Donor,CTV3
T860,Bone-Marrow Transplant Rejection,ICD-10
W341,"Graft Of Bone Marrow,Autograft Of Bone Marrow",OPCS-4
W342,"Graft Of Bone Marrow,Allograft Of Bone Marrow Nec",OPCS-4
W343,"Graft Of Bone Marrow,Allograft Of Bone Marrow From Sibling Donor",OPCS-4
W344,"Graft Of Bone Marrow,Allograft Of Bone Marrow From Matched Unrelated Donor",OPCS-4
W345,"Graft Of Bone Marrow,Allograft Of Bone Marrow From Haploidentical Donor",OPCS-4
W346,"Graft Of Bone Marrow,Allograft Of Bone Marrow From Unmatched Unrelated Donor",OPCS-4
W348,"Graft Of Bone Marrow,Other Specified",OPCS-4
