code,description,type
5135.,Radiological Tumour Control,CTV3
514..,Purpose Of Radiotherapy,CTV3
5141.,Radiotherapy For Immunosuppression,CTV3
5142.,Radiotherapy For Haemopoietic Irradiation,CTV3
5143.,Radiotherapy For Lymphatic Irradiation,CTV3
5144.,Preoperative Course Of Radiotherapy,CTV3
5145.,Radiotherapy - Intraoperative Control,CTV3
5146.,Postoperative Course Of Radiotherapy,CTV3
5147.,Radiotherapy For Analgesia,CTV3
5148.,Radiotherapy For Inflammation,CTV3
5149.,Palliative Course Of Radiotherapy,CTV3
514Z.,Radiotherapy Purpose - Nos,CTV3
515..,Progress Of Radiotherapy,CTV3
5151.,Radiotherapy Started,CTV3
5152.,Radiotherapy Changed,CTV3
5153.,Radiotherapy Stopped,CTV3
5154.,Radiotherapy Completed,CTV3
515Z.,Radiotherapy Progress Nos,CTV3
56B5.,Image: Field Control:radiother,CTV3
591..,X-Ray Beam Therapy,CTV3
5911.,Grenz Ray Therapy Up To 10 Kv,CTV3
5912.,Superficial X-Ray Therapy 10-60 Kv,CTV3
5913.,Half-Deep Therapy 60-150 Kv,CTV3
5914.,Deep X-Ray Therapy 150-400 Kv,CTV3
5915.,Ultrahard X-Rays 400-2000 Kv,CTV3
5916.,Short Distance X-Ray Therapy,CTV3
5917.,Intracavitary X-Ray Therapy,CTV3
5918.,Combined X-Ray Therapy,CTV3
591Z.,X-Ray Beam Therapy Nos,CTV3
592..,High-Energy Beam Therapy,CTV3
5921.,Linear Accelerator Photon Therapy,CTV3
5922.,Betatron Photon Therapy,CTV3
5923.,Van Der Graaff Photon Therapy,CTV3
5924.,Combined Photon Therapy,CTV3
592Z.,High-Energy Beam Therapy Nos,CTV3
593..,Fast-Electron Therapy,CTV3
5931.,Linear Accelerator Electrons,CTV3
5932.,Betatron Electron Therapy,CTV3
5933.,Positron Therapy,CTV3
5934.,Combined Fast-Electron Therapy,CTV3
593Z.,Fast-Electron Therapy Nos,CTV3
594..,Heavy Particle Therapy,CTV3
5941.,Proton Therapy,CTV3
5942.,Deuteron Therapy,CTV3
5943.,Pi-Meson Therapy,CTV3
5944.,Neutron Capture Therapy,CTV3
5945.,Fast Neutron Therapy,CTV3
5946.,Combined Heavy Particle Therapy,CTV3
594Z.,Heavy Particle Therapy Nos,CTV3
595..,Gamma Ray And Intermediate Distance Curietherapy,CTV3
5951.,Gamma-Ray Telecurie Therapy,CTV3
5952.,Intermediate Distance Curietherapy,CTV3
