code,description,type
23E5.,O/E - Fibrosis Of Lung Present,CTV3
663K.,Airways Obstructn Irreversible,CTV3
7450.,Lung Transplant,CTV3
7450y,Other Specified Transplantation Of Lung,CTV3
7450z,Transplantation Of Lung Nos,CTV3
A114.,Tuberculous Fibrosis Of Lung,CTV3
A115.,Tuberculous Bronchiectasis,CTV3
A7899,Hiv Disease Resulting In Lymphoid Interstitial Pneumonitis,CTV3
AD52.,Sarcoidosis Of Lung With Sarcoidosis Of Lymph Nodes,CTV3
C370.,Cystic Fibrosis,CTV3
C370.,Cystic Fibrosis,CTV3
C3700,Cystic Fibrosis With No Meconium Ileus,CTV3
C3701,Meconium Ileus In Cystic Fibrosis,CTV3
C3701,Meconium Ileus In Cystic Fibrosis,CTV3
C3702,Cystic Fibrosis With Pulmonary Manifestations,CTV3
C3703,Cystic Fibrosis With Intestinal Manifestations,CTV3
C370z,Cystic Fibrosis Nos,CTV3
H0614,Obliterating Fibrous Bronchiolitis,CTV3
H3...,Chronic Obstructive Lung Disease,CTV3
H3...,Chronic Obstructive Lung Disease,CTV3
H31..,Chronic Bronchitis,CTV3
H310.,Simple Chronic Bronchitis,CTV3
H3100,Simple Chronic Bronchitis,CTV3
H310z,Simple Chronic Bronchitis Nos,CTV3
H311.,Mucopurulent Chronic Bronchitis,CTV3
H3110,Purulent Chronic Bronchitis,CTV3
H311z,Mucopurulent Chronic Bronchitis Nos,CTV3
H3121,Emphysematous Bronchitis,CTV3
H3122,Acute Exacerbation Of Chronic Obstructive Airways Disease,CTV3
H312z,Obstructive Chronic Bronchitis Nos,CTV3
H313.,Mixed Simple And Mucopurulent Chronic Bronchitis,CTV3
H31y.,Other Chronic Bronchitis,CTV3
H31y0,Chronic Tracheitis,CTV3
H31y1,Chronic Tracheobronchitis,CTV3
H31yz,Other Chronic Bronchitis Nos,CTV3
H31z.,Chronic Bronchitis Nos,CTV3
H32..,Emphysema,CTV3
H320.,Chronic Bullous Emphysema,CTV3
H3200,Segmental Bullous Emphysema,CTV3
H3201,Zonal Bullous Emphysema,CTV3
H3202,Giant Bullous Emphysema,CTV3
H3203,(Bullous Emphysema With Collapse) Or (Tension Pneumatocoele),CTV3
H320z,Chronic Bullous Emphysema Nos,CTV3
H321.,Panlobular Emphysema,CTV3
H322.,Centrilobular Emphysema,CTV3
H32y.,Other Emphysema,CTV3
H32y0,Acute Vesicular Emphysema,CTV3
H32y1,Emphysema: [Acute Interstitial] Or [Atrophic - Senile],CTV3
H32y2,Macleods Syndrome,CTV3
H32y2,Macleods Syndrome,CTV3
H32yz,(Sawyer-Jones Syndrome) Or (Other Emphysema Nos),CTV3
H32z.,Emphysema Nos,CTV3
H34..,Bronchiectasis,CTV3
H340.,Recurrent Bronchiectasis,CTV3
H341.,Post-Infective Bronchiectasis,CTV3
H34z.,Bronchiectasis Nos,CTV3
H35..,Extrinsic Allergic Alveolitis,CTV3
H35..,Extrinsic Allergic Alveolitis,CTV3
H350.,Farmers' Lung,CTV3
H351.,Bagassosis,CTV3
H352.,Bird-Fancier's Lung,CTV3
H3520,Budgerigar-Fanciers' Lung,CTV3
H3521,Pigeon-Fanciers' Lung,CTV3
H352z,Bird-Fancier's Lung Nos,CTV3
H353.,Cork-Handlers' Lung,CTV3
H354.,Malt Workers' Lung,CTV3
H355.,Mushroom Workers' Lung,CTV3
H356.,Maple Bark Strippers' Lung,CTV3
H357.,Ventilation Pneumonitis,CTV3
H35y.,Other Allergic Alveolitis,CTV3
H35y0,Cheese-Washers' Lung,CTV3
H35y1,Coffee-Workers' Lung,CTV3
