code,description,type
14S2.,H/O: Kidney Recipient,CTV3
7A600,Insertion Of Arteriovenous Prosthesis,CTV3
7A602,Attention To Arteriovenous Shunt,CTV3
7A603,Removal Of Infected Arteriovenous Shunt,CTV3
7A60y,Other Specified Arteriovenous Shunt,CTV3
7A60z,Arteriovenous Shunt Nos,CTV3
7A614,Ligation Of Acquired Arteriovenous Fistula,CTV3
7A614,Ligation Of Acquired Arteriovenous Fistula,CTV3
7A6E2,Declotting Of Thigh Vein Loop,CTV3
7B00.,Renal Transplant,CTV3
7B001,Live Donor Renal Transplant,CTV3
7B002,Cadaveric Renal Transplant,CTV3
7B00y,Other Specified Transplantation Of Kidney,CTV3
7B00z,Transplantation Of Kidney Nos,CTV3
7L1A.,Compensation For Renal Failure (& Dialysis),CTV3
7L1A0,(Renal Dialysis) Or (Thomas Intravascular Dialysis Shunt),CTV3
7L1A1,Peritoneal Dialysis,CTV3
7L1A2,Haemodialysis Nec,CTV3
7L1Ay,Other Specified Compensation For Renal Failure,CTV3
7L1Az,Compensation For Renal Failure Nos,CTV3
7L1B.,Chronic Ambulatory Peritoneal Dialysis Catheter Procedure ++,CTV3
7L1B0,Insertion Of Chronic Ambulatory Peritoneal Dialysis Catheter,CTV3
7L1B0,Insertion Of Chronic Ambulatory Peritoneal Dialysis Catheter,CTV3
7L1B1,Removal Of Chronic Ambulatory Peritoneal Dialysis Catheter,CTV3
7L1By,Placement Ambulatory Apparatus- Compensate Renal Failure Os,CTV3
7L1Bz,Placement Ambulatory Apparatus- Compensate Renal Failure Nos,CTV3
7L1C.,Placement Other Apparatus For Compensation For Renal Failure,CTV3
7L1C0,Insertion Of Temporary Peritoneal Dialysis Catheter,CTV3
7L1Cy,Placement Other Apparatus- Compensate For Renal Failure Os,CTV3
7L1Cz,Placement Other Apparatus- Compensate For Renal Failure Nos,CTV3
8877,Ultrafiltration,CTV3
8882,Intestinal Dialysis,CTV3
G760.,Acquired Arteriovenous Fistula,CTV3
TA020,"Accid Cut,Puncture,Perf,H'ge - Kidney Dialysis",CTV3
TA020,"Accid Cut,Puncture,Perf,H'ge - Kidney Dialysis",CTV3
TA02z,"Accid Cut,Puncture,Perf,H'ge - Perfusion Nos",CTV3
TA22.,Failure Of Sterile Precautions During Perfusion,CTV3
TA220,Failure Of Sterile Precautions During Kidney Dialysis,CTV3
TA220,Failure Of Sterile Precautions During Kidney Dialysis,CTV3
TA22y,Failure Of Sterile Precautions During Other Perfusion,CTV3
