codes,description
326874007,Methotrexate 2.5mg tablets
130921e10,Methotrexate 2.5mg tablets
965211000000000,Methotrexate 2.5mg tablets
119258e11,Methotrexate 2.5mg tablets
201811000000000,Methotrexate 2.5mg tablets (A A H Pharmaceuticals Ltd)
193961e10,Methotrexate 2.5mg tablets (A A H Pharmaceuticals Ltd)
387437e11,Methotrexate 2.5mg tablets (A A H Pharmaceuticals Ltd)
193941e10,Methotrexate 2.5mg tablets (A A H Pharmaceuticals Ltd)
119259e11,Methotrexate 2.5mg tablets (A A H Pharmaceuticals Ltd)
383711000000000,Methotrexate 2.5mg tablets (Pfizer Ltd)
193981e10,Methotrexate 2.5mg tablets (Pfizer Ltd)
167911000000000,Methotrexate 2.5mg tablets (Kent Pharmaceuticals Ltd)
194001e10,Methotrexate 2.5mg tablets (Kent Pharmaceuticals Ltd)
644711000000000,Maxtrex 2.5mg tablets (Pfizer Ltd)
194021e10,Maxtrex 2.5mg tablets (Pfizer Ltd)
212282e11,Maxtrex 2.5mg tablets (Pfizer Ltd)
706911000000000,Methotrexate 2.5mg tablets (Alliance Healthcare (Distribution) Ltd)
194061e10,Methotrexate 2.5mg tablets (Alliance Healthcare (Distribution) Ltd)
280531e10,Methotrexate 2.5mg tablets (Alliance Healthcare (Distribution) Ltd)
120583e11,Methotrexate 2.5mg tablets (Alliance Healthcare (Distribution) Ltd)
683611000000000,Methotrexate 2.5mg tablets (Advanz Pharma)
194101e10,Methotrexate 2.5mg tablets (Advanz Pharma)
122413e11,Methotrexate 2.5mg tablets (Advanz Pharma)
110264e11,Methotrexate 2.5mg tablets (Wockhardt UK Ltd)
110265e11,Methotrexate 2.5mg tablets (Wockhardt UK Ltd)
111771e11,Methotrexate 2.5mg tablets (Wockhardt UK Ltd)
149625e11,Methotrexate 2.5mg tablets (Orion Pharma (UK) Ltd)
14963e12,Methotrexate 2.5mg tablets (Orion Pharma (UK) Ltd)
149628e11,Methotrexate 2.5mg tablets (Orion Pharma (UK) Ltd)
149626e11,Methotrexate 2.5mg tablets (Orion Pharma (UK) Ltd)
297386e11,Methotrexate 2.5mg tablets (Orion Pharma (UK) Ltd)
203106e11,Methotrexate 2.5mg tablets (Sandoz Ltd)
203107e11,Methotrexate 2.5mg tablets (Sandoz Ltd)
210147e11,Methotrexate 2.5mg tablets (Sandoz Ltd)
341752e11,Methotrexate 2.5mg tablets (Sandoz Ltd)
217962e11,Methotrexate 2.5mg tablets (Waymade Healthcare Plc)
