code,description,type
14S2.,H/O: Kidney Recipient,CTV3
14S3.,H/O: Heart Recipient,CTV3
14S8.,H/O: Liver Recipient,CTV3
14S9.,H/O: Lung Recipient,CTV3
7450.,Lung Transplant,CTV3
7450y,Other Specified Transplantation Of Lung,CTV3
7450z,Transplantation Of Lung Nos,CTV3
7800.,Liver Transplant,CTV3
78000,Orthotopic Liver Transplant,CTV3
78001,Heterotopic Liver Transplant,CTV3
78002,Replacement Of Previous Liver Transplant,CTV3
7800y,Other Specified Transplantation Of Liver,CTV3
7800z,Transplantation Of Liver Nos,CTV3
7830.,Pancreatic Transplant,CTV3
78300,Transplantation Of Pancreas And Duodenum,CTV3
78301,Whole Organ Pancreatic Transplant,CTV3
78302,Transplantation Of Tail Of Pancreas,CTV3
78303,Islet Cell Transplant,CTV3
78304,Renewal Of Transplanted Pancreatic Tissue,CTV3
7830y,Other Specified Transplantation Of Pancreas,CTV3
7830z,Transplantation Of Pancreas Nos,CTV3
78312,Excision Of Transplanted Pancreas,CTV3
78420,Spleen Transplant,CTV3
7900.,Heart And Lung Transplant,CTV3
79000,Allotransplant Of Heart And Lung,CTV3
79001,Revision Of Transplantation Of Heart And Lung,CTV3
7900y,Other Specified Transplantation Of Heart And Lung,CTV3
7900z,Transplantation Of Heart And Lung Nos,CTV3
7901.,Other Transplantation Of Heart,CTV3
79010,Allotransplantation Of Heart Nec,CTV3
79011,Xenotransplant Of Heart,CTV3
79013,Heterotopic Allotransplant Of Heart,CTV3
79015,Revision Of Transplantation Of Heart Nec,CTV3
7901y,Other Specified Other Transplantation Of Heart,CTV3
7901z,Other Transplantation Of Heart Nos,CTV3
7B00.,Renal Transplant,CTV3
7B000,Autotransplantation Of Kidney,CTV3
7B001,Live Donor Renal Transplant,CTV3
7B002,Cadaveric Renal Transplant,CTV3
7B00y,Other Specified Transplantation Of Kidney,CTV3
7B00z,Transplantation Of Kidney Nos,CTV3
7B015,Transplant Nephrectomy (& For Rejection),CTV3
8C31.,Transplant Immunosuppression,CTV3
8HBB.,Transplant Follow-Up,CTV3
K0B5.,Renal Tubulo-Interstitial Disorders In Transplant Rejection,CTV3
SP08.,Transplanted Organ Complication,CTV3
SP080,(Transpl Organ Fail) Or (Deterior Ren Func Aft Ren Transpl),CTV3
SP081,Transplanted Organ Rejection,CTV3
SP083,Kidney Transplant Failure And Rejection,CTV3
SP084,Heart Transplant Failure And Rejection,CTV3
SP085,Heart-Lung Transplant Failure And Rejection,CTV3
SP086,Liver Transplant Failure And Rejection,CTV3
SP08z,Transplanted Organ Complication Nos,CTV3
TB000,"Heart Transplant With Complication, Without Blame",CTV3
TB001,"Kidney Transplant With Complication, Without Blame",CTV3
TB002,"Liver Transplant With Complication, Without Blame",CTV3
X00s1,Single Lung Transplant,CTV3
X00s2,Double Lung Transplant,CTV3
X00s3,Double Lung Transplant As A Block,CTV3
X00s4,Bilateral Sequential Single Lung Transplant,CTV3
X200b,Accelerated Coronary Artery Disease In Transplanted Heart,CTV3
X202u,Cardiac Transplant Disorder,CTV3
X202v,Cardiac Transplant Rejection,CTV3
X202w,Cardiac Transplant Failure,CTV3
X307x,Liver Transplant Disorder,CTV3
X307y,Liver Transplant Rejection,CTV3
X307z,Liver Transplant Failure,CTV3
X30D2,Xenograft Renal Transplant,CTV3
X30MN,Renal Transplant Disorder,CTV3
X30MO,Primary Non-Function Of Renal Transplant,CTV3
X30MP,Renal Transplant Rejection,CTV3
X30MQ,Hyperacute Rejection Of Renal Transplant,CTV3
X30MR,Accelerated Rejection Of Renal Transplant,CTV3
X30MS,Very Mild Acute Rejection Of Renal Transplant,CTV3
X30MT,Acute Rejection Of Renal Transplant,CTV3
X30MU,Acute Rejection Of Renal Transplant - Grade I,CTV3
X30MV,Acute Rejection Of Renal Transplant - Grade Ii,CTV3
X30MW,Acute Rejection Of Renal Transplant - Grade Iii,CTV3
X30MX,Chronic Rejection Of Renal Transplant,CTV3
X30MY,Chronic Rejection Of Renal Transplant - Grade 1,CTV3
X30MZ,Chronic Rejection Of Renal Transplant - Grade Ii,CTV3
X30Ma,Chronic Rejection Of Renal Transplant - Grade Iii,CTV3
X30Mb,Acute-On-Chronic Rejection Of Renal Transplant,CTV3
X30Mc,Failed Renal Transplant,CTV3
X30Md,Perfusion Injury Of Renal Transplant,CTV3
X30Me,De Novo Transplant Disease,CTV3
X30Mf,De Novo Glomerulonephritis,CTV3
X30Mg,Transplant Glomerulopathy,CTV3
X30Mh,Transplant Glomerulopathy - Early Form,CTV3
X30Mi,Transplant Glomerulopathy - Late Form,CTV3
X30NE,Escape Of Urine From Transplanted Ureter,CTV3
X30NN,Perirenal And Periureteric Post-Transplant Lymphocele,CTV3
X78FE,Post-Transplant Neoplasia,CTV3
X78FF,Post-Transplant Lymphoproliferative Disorder,CTV3
XC0CV,Transplant,CTV3
XE0Fv,Transplant Nephrectomy,CTV3
XE1p5,Transplanted Organ Failure,CTV3
XE1pM,[X]Failure & Rejection Of Other Transplanted Organ & Tissue,CTV3
XM0Bl,Transplant Disorder,CTV3
XSC3p,Complication Of Transplanted Lung,CTV3
Xa0HK,Unexplained Episode Of Renal Transplant Dysfunction,CTV3
Xa0HL,Pre-Existing Disease In Renal Transplant,CTV3
Xa0Pz,Part Organ Pancreatic Transplant,CTV3
Xa2h5,Excision Of Rejected Transplanted Kidney,CTV3
Xa3kB,Thymus Transplantation,CTV3
Xa3x6,Kidney Replacement,CTV3
Xa9UX,Transplanted Ureter,CTV3
XaDya,Lung Transplant Disorder,CTV3
XaDyb,Lung Transplant Rejection,CTV3
XaE9T,Donor Renal Transplantation,CTV3
XaJJo,Transplantation Surgery,CTV3
XaJJv,Cardiothoracic Transplantation,CTV3
XaLcH,Single Lobe Lung Transplant,CTV3
XaLda,Transplantation Of Ileum,CTV3
XaLdb,Allotransplantation Of Ileum,CTV3
XaLdc,Other Specified Transplantation Of Ileum,CTV3
XaLdd,Transplantation Of Ileum Nos,CTV3
XaLde,Transplantation Of Liver Cells,CTV3
XaLdf,Orthotopic Transplantation Of Whole Liver,CTV3
XaM1o,"Allotransplantation Of Kidney From Cadaver, Heart-Beating",CTV3
XaM1p,"Allotransplantation Kidney From Cadaver, Heart Non-Beating",CTV3
XaM4e,Interventions Associated With Transplantation Of Kidney,CTV3
XaM4f,Os Interventions Associated With Transplantation Of Kidney,CTV3
XaM4g,Interventions Associated With Transplantation Of Kidney Nos,CTV3
XaM4j,"Post-Transplantation Of Kidney Examination, Live Donor",CTV3
XaM4l,"Post-Transplantation Of Kidney Examination, Recipient",CTV3
XaMKM,Allotransplantation Of Kidney From Cadaver Nec,CTV3
XaMMe,Orthotopic Transplantation Of Liver Nec,CTV3
XaMm9,Allotransplantation Of Thymus Gland,CTV3
XaMmq,Other Specified Transplantation Of Thymus Gland,CTV3
XaMms,Transplantation Of Thymus Gland Nos,CTV3
XaYR1,Bronchiolitis Obliterans Syndrome After Lung Transplantation,CTV3
XaZWa,Urological Complication Of Renal Transplant,CTV3
XaZYx,Vascular Complication Of Renal Transplant,CTV3
XaZe2,Rupture Of Artery Of Transplanted Kidney,CTV3
XaZe3,Rupture Of Vein Of Transplanted Kidney,CTV3
XaZe7,Stenosis Of Vein Of Transplanted Kidney,CTV3
XaZkw,Aneurysm Of Vein Of Transplanted Kidney,CTV3
XaZl0,Aneurysm Of Artery Of Transplanted Kidney,CTV3
Xaa2O,Thrombosis Of Artery Of Transplanted Kidney,CTV3
Xaa2Q,Thrombosis Of Vein Of Transplanted Kidney,CTV3
Xaat5,Transplantation Of Stomach,CTV3
Xaat6,Allotransplantation Of Stomach,CTV3
Y1602,Kidney-Pancreas Transplant,CTV3
ZV42.,[V]Transplanted Organ Or Tissue,CTV3
ZV420,[V]Kidney Transplanted,CTV3
ZV421,[V]Heart Transplanted,CTV3
ZV422,[V]Heart Valve Transplanted,CTV3
ZV423,[V]Skin Transplanted,CTV3
ZV424,[V]Bone Transplanted,CTV3
ZV425,[V]Cornea Transplanted,CTV3
ZV426,[V]Lung Transplanted,CTV3
ZV427,[V]Liver Transplanted,CTV3
236582008,Acute-On-Chronic Rejection Of Renal Transplant (Disorder),SNOMED-CT
847881000000107,Stenosis Of Vein Of Transplanted Kidney (Disorder),SNOMED-CT
44165003,Complication Of Transplanted Lung (Disorder),SNOMED-CT
174426002,Heterotopic Liver Transplant (Procedure),SNOMED-CT
236588007,Transplant Glomerulopathy - Early Form (Disorder),SNOMED-CT
174693008,Transplantation Of Tail Of Pancreas (Procedure),SNOMED-CT
236576005,Acute Rejection Of Renal Transplant - Grade Ii (Disorder),SNOMED-CT
175902000,Cadaveric Renal Transplant (Procedure),SNOMED-CT
236570004,Renal Transplant Rejection (Disorder),SNOMED-CT
32477003,Heart-Lung Transplant With Recipient Cardiectomy-Pneumonectomy (Procedure),SNOMED-CT
18027006,Transplantation Of Liver (Procedure),SNOMED-CT
236579003,Chronic Rejection Of Renal Transplant - Grade 1 (Disorder),SNOMED-CT
408471009,Cardiothoracic Transplantation (Qualifier Value),SNOMED-CT
426356008,Orthotopic Transplantation Of Whole Liver (Procedure),SNOMED-CT
429332008,Transplantation Of Single Lobe Of Lung (Procedure),SNOMED-CT
213151004,Heart Transplant Failure And Rejection (Disorder),SNOMED-CT
183023001,Transplant Immunosuppression (Procedure),SNOMED-CT
236573002,Very Mild Acute Rejection Of Renal Transplant (Disorder),SNOMED-CT
711413009,Allotransplantation Of Kidney From Non-Beating Heart Cadaver (Procedure),SNOMED-CT
896561000000109,Transplantation Of Stomach (Procedure),SNOMED-CT
174803001,Revision Of Transplantation Of Heart And Lung (Procedure),SNOMED-CT
