code,description,type
14A3.,H/O: Myocardial Infarct At Less Than 60,CTV3
14A4.,H/O: Myocardial Infarct At Greater Than 60,CTV3
14A5.,H/O: Angina Pectoris,CTV3
14A6.,H/O: Heart Failure,CTV3
14S3.,H/O: Heart Recipient,CTV3
323..,Ecg: Myocardial Infarction,CTV3
3232.,Ecg: Old Myocardial Infarction,CTV3
3233.,Ecg: Anteroseptal Infarction,CTV3
3234.,Ecg:posterior/Inferior Infarct,CTV3
3235.,Ecg: Subendocardial Infarct,CTV3
3236.,Ecg: Lateral Infarction,CTV3
323Z.,Ecg: Myocardial Infarct Nos,CTV3
662K.,Angina Control,CTV3
662K0,Angina Control - Good,CTV3
662K1,Angina Control - Poor,CTV3
662K2,Angina Control - Improving,CTV3
662K3,Angina Control - Worsening,CTV3
662Kz,Angina Control Nos,CTV3
7900.,Heart And Lung Transplant,CTV3
79000,Allotransplant Of Heart And Lung,CTV3
79001,Revision Of Transplantation Of Heart And Lung,CTV3
7900y,Other Specified Transplantation Of Heart And Lung,CTV3
7900z,Transplantation Of Heart And Lung Nos,CTV3
7901.,Other Transplantation Of Heart,CTV3
79010,Allotransplantation Of Heart Nec,CTV3
79011,Xenotransplant Of Heart,CTV3
79012,Implantation Of Prosthetic Heart,CTV3
79013,Heterotopic Allotransplant Of Heart,CTV3
79014,Revision Of Implantation Of Prosthetic Heart,CTV3
79015,Revision Of Transplantation Of Heart Nec,CTV3
7901y,Other Specified Other Transplantation Of Heart,CTV3
7901z,Other Transplantation Of Heart Nos,CTV3
7902.,Repair Of Tetralogy Of Fallot,CTV3
7902.,Repair Of Tetralogy Of Fallot,CTV3
79020,Correct Fallot Tetralogy Valved Right Ventr Outflow Conduit,CTV3
79020,Correct Fallot Tetralogy Valved Right Ventr Outflow Conduit,CTV3
79021,Correct Fallot Tetralogy- Right Ventric Outflow Conduit Nec,CTV3
79021,Correct Fallot Tetralogy- Right Ventric Outflow Conduit Nec,CTV3
79022,Correct Fallot Tetralogy- Right Ventricular Outflow Patch,CTV3
79023,Revision Of Correction Of Tetralogy Of Fallot,CTV3
79023,Revision Of Correction Of Tetralogy Of Fallot,CTV3
7902y,Other Specified Correction Of Tetralogy Of Fallot,CTV3
7902y,Other Specified Correction Of Tetralogy Of Fallot,CTV3
7902z,Correction Of Tetralogy Of Fallot Nos,CTV3
7902z,Correction Of Tetralogy Of Fallot Nos,CTV3
79030,Atrial Inversion Operation With Patch,CTV3
79030,Atrial Inversion Operation With Patch,CTV3
79031,Atrial Inversion Operation Using Atrial Wall,CTV3
79031,Atrial Inversion Operation Using Atrial Wall,CTV3
7903y,Atrial Inversion Op For Transposition Of Great Vessels Os,CTV3
7903y,Atrial Inversion Op For Transposition Of Great Vessels Os,CTV3
7903z,Atrial Inversion Op For Transposition Of Great Vessels Nos,CTV3
7903z,Atrial Inversion Op For Transposition Of Great Vessels Nos,CTV3
7904.,Other Correction Of Transposition Of Great Vessels,CTV3
79040,Arterial Switch Operation,CTV3
7904y,Other Correction Of Transposition Of Great Vessels Os,CTV3
7904z,Other Correction Of Transposition Of Great Vessels Nos,CTV3
7905.,Repair Of Total Anomalous Pulmonary Venous Connection,CTV3
79050,Correct Total Anomal Pulm Venous Connect To Supracard Vessel,CTV3
79051,Correct Total Anomal Pulm Venous Connect To Coronary Sinus,CTV3
79052,Correct Total Anomal Pulm Venous Connect To Infradiaph Vess,CTV3
7905y,Correction Of Total Anomalous Pulmonary Venous Connection Os,CTV3
7905z,Correction Total Anomalous Pulmonary Venous Connection Nos,CTV3
790H3,Revascularisation Of Wall Of Heart,CTV3
792..,Coronary Artery Operations (& Bypass),CTV3
7920.,Saphenous Vein Graft Bypass Of Coronary Artery,CTV3
7920.,Saphenous Vein Graft Bypass Of Coronary Artery,CTV3
79200,Saphenous Vein Graft Replacement Of One Coronary Artery,CTV3
79201,Saphenous Vein Graft Replacement Of Two Coronary Arteries,CTV3
79202,Saphenous Vein Graft Replacement Of Three Coronary Arteries,CTV3
79203,Saphenous Vein Graft Replacement Of Four+ Coronary Arteries,CTV3
7920y,Saphenous Vein Graft Replacement Of Coronary Artery Os,CTV3
7920z,Saphenous Vein Graft Replacement Coronary Artery Nos,CTV3
7921.,Other Autograft Replacement Of Coronary Artery,CTV3
7921.,Other Autograft Replacement Of Coronary Artery,CTV3
79210,Autograft Replacement Of One Coronary Artery Nec,CTV3
79211,Autograft Replacement Of Two Coronary Arteries Nec,CTV3
79212,Autograft Replacement Of Three Coronary Arteries Nec,CTV3
79213,Autograft Replacement Of Four Of More Coronary Arteries Nec,CTV3
7921y,Other Autograft Replacement Of Coronary Artery Os,CTV3
7921z,Other Autograft Replacement Of Coronary Artery Nos,CTV3
7922.,Allograft Bypass Of Coronary Artery,CTV3
7922.,Allograft Bypass Of Coronary Artery,CTV3
79220,Allograft Replacement Of One Coronary Artery,CTV3
79221,Allograft Replacement Of Two Coronary Arteries,CTV3
79222,Allograft Replacement Of Three Coronary Arteries,CTV3
79223,Allograft Replacement Of Four Or More Coronary Arteries,CTV3
7922y,Other Specified Allograft Replacement Of Coronary Artery,CTV3
7922z,Allograft Replacement Of Coronary Artery Nos,CTV3
7923.,Prosthetic Bypass Of Coronary Artery,CTV3
7923.,Prosthetic Bypass Of Coronary Artery,CTV3
79230,Prosthetic Replacement Of One Coronary Artery,CTV3
79231,Prosthetic Replacement Of Two Coronary Arteries,CTV3
79232,Prosthetic Replacement Of Three Coronary Arteries,CTV3
79233,Prosthetic Replacement Of Four Or More Coronary Arteries,CTV3
7923y,Other Specified Prosthetic Replacement Of Coronary Artery,CTV3
7923z,Prosthetic Replacement Of Coronary Artery Nos,CTV3
7924.,Revision Of Bypass For Coronary Artery,CTV3
79240,Revision Of Bypass For One Coronary Artery,CTV3
79241,Revision Of Bypass For Two Coronary Arteries,CTV3
79242,Revision Of Bypass For Three Coronary Arteries,CTV3
79243,Revision Of Bypass For Four Or More Coronary Arteries,CTV3
79244,Revision Of Connection Of Thoracic Artery To Coronary Artery,CTV3
79245,Revision Of Implantation Of Thoracic Artery Into Heart,CTV3
7924y,Other Specified Revision Of Bypass For Coronary Artery,CTV3
7924z,Revision Of Bypass For Coronary Artery Nos,CTV3
7925.,Connection Of Mammary Artery To Coronary Artery,CTV3
7925.,Connection Of Mammary Artery To Coronary Artery,CTV3
79250,Mamm To Coron Art Anast: [Double] Or [Lima Seq]/[Rima Seq],CTV3
79251,Double Implant Of Mammary Arteries Into Coronary Arteries,CTV3
79252,Single Anast Mammary Art To Left Ant Descend Coronary Art,CTV3
79253,Single Mammary-Coronary Art Anast: [Nec] Or [Lima] Or [Rima],CTV3
79254,Single Implantation Of Mammary Artery Into Coronary Artery,CTV3
7925y,Connection Of Mammary Artery To Coronary Artery Os,CTV3
7925z,Connection Of Mammary Artery To Coronary Artery Nos,CTV3
7926.,Connection Of Other Thoracic Artery To Coronary Artery,CTV3
79260,Double Anastom Thoracic Arteries To Coronary Arteries Nec,CTV3
79261,Double Implant Thoracic Arteries Into Coronary Arteries Nec,CTV3
79262,Single Anastomosis Of Thoracic Artery To Coronary Artery Nec,CTV3
79263,Single Implantation Thoracic Artery Into Coronary Artery Nec,CTV3
7926y,Connection Of Other Thoracic Artery To Coronary Artery Os,CTV3
7926z,Connection Of Other Thoracic Artery To Coronary Artery Nos,CTV3
7927.,Other Open Operations On Coronary Artery,CTV3
79270,Repair Of Arteriovenous Fistula Of Coronary Artery,CTV3
79271,Repair Of Coronary Artery Aneurysm,CTV3
79272,Transection Of Coronary Artery Muscle Bridge,CTV3
79273,Transposition Of Coronary Artery Nec,CTV3
79275,Open Angioplasty Of Coronary Artery,CTV3
7927y,Other Specified Other Open Operation On Coronary Artery,CTV3
7927z,Other Open Operation On Coronary Artery Nos,CTV3
7928.,Percutaneous Balloon Angioplasty Of Coronary Artery,CTV3
79280,Percut Transluminal Balloon Angioplasty One Coronary Artery,CTV3
79281,Percut Translum Balloon Angioplasty Mult Coronary Arteries,CTV3
79282,Percut Translum Balloon Angioplasty Bypass Graft Coronary A,CTV3
7928y,Transluminal Balloon Angioplasty Of Coronary Artery Os,CTV3
7928z,Transluminal Balloon Angioplasty Of Coronary Artery Nos,CTV3
7929.,Other Therapeutic Transluminal Operations On Coronary Artery,CTV3
