code,description,type
13B1.,Diabetic Diet,CTV3
1434,H/O: Diabetes Mellitus,CTV3
14P3.,H/O: Insulin Therapy,CTV3
42W1.,Hb. A1c < 7% - Good Control,CTV3
42W2.,Hb. A1c 7-10% - Borderline,CTV3
42W3.,Hb. A1c > 10% - Bad Control,CTV3
42WZ.,Hb. A1c - Diabetic Control Nos,CTV3
42c0.,Hba1 Less Than 7% - Good Control,CTV3
42c1.,Hba1 7-10% - Borderline Control,CTV3
44V3.,Glucose Tol. Test Diabetic,CTV3
66A3.,Diabetic On Diet Only,CTV3
66A4.,Diabetic On Oral Treatment,CTV3
66A5.,Diabetic On Insulin,CTV3
66A6.,Last Hypoglycaemia Attack,CTV3
66A8.,Has Seen Dietitian - Diabetes,CTV3
66A9.,Understands Diet - Diabetes,CTV3
66AA.,Injection Sites (& Diabetic),CTV3
66AG.,Diabetic Drug Side Effects,CTV3
66AH.,Diabetic Treatment Changed,CTV3
66AH0,Conversion To Insulin,CTV3
66AI.,Diabetic - Good Control,CTV3
66AJ.,Diabetic - Poor Control (& Unstable),CTV3
66AJ0,Chronic Hyperglycaemia,CTV3
66AJ1,[Brittle] And/Or [Labile Diabetes],CTV3
66AJ2,Loss Of Hypoglycaemic Warning,CTV3
66AJ3,Recurrent Severe Hypos,CTV3
66AJz,Diabetic - Poor Control Nos,CTV3
66AK.,Diabetic - Cooperative Patient,CTV3
66AL.,Diabetic-Uncooperative Patient,CTV3
66AM.,Diabetic - Follow-Up Default,CTV3
66AN.,Date Diabetic Treatment Start,CTV3
66AP.,Diabetes: Practice Programme,CTV3
66AQ.,Diabetes: Shared Care Programme,CTV3
66AR.,Diabetes Management Plan Given,CTV3
66AS.,Diabetic Annual Review,CTV3
66AT.,Annual Diabetic Blood Test,CTV3
7L100,Continuous Subcutaneous Infusion Of Insulin,CTV3
8A12.,Diabetic Crisis Monitoring,CTV3
8A13.,Diabetic Stabilisation,CTV3
8CA41,Patient Advised About Diabetic Diet,CTV3
8H2J.,Admit Diabetic Emergency,CTV3
8H3O.,Non-Urgent Diabetic Admission,CTV3
8H7C.,"Refer, Diabetic Liaison Nurse",CTV3
8HKE.,Diabetology Domiciliary Visit Requested,CTV3
8HLE.,Diabetology D.v. Done,CTV3
8HME.,Listed For Diabetology Admissn,CTV3
9NM0.,Attending Diabetes Clinic,CTV3
9OL..,Diabetes Administration: [Monitoring] Or [Clinic],CTV3
9OL1.,Attends Diabetes Monitoring,CTV3
9OL2.,Refuses Diabetes Monitoring,CTV3
9OL3.,Diabetes Monitoring Default,CTV3
9OL4.,Diabetes Monitoring First Letter,CTV3
9OL5.,Diabetes Monitoring Second Letter,CTV3
9OL6.,Diabetes Monitoring Third Letter,CTV3
9OL7.,Diabetes Monitoring Verbal Invite,CTV3
9OL8.,Diabetes Monitoring Telephone Invite,CTV3
9OL9.,Diabetes Monitoring Deleted,CTV3
9OLA.,Diabetes Monitored (& Check Done),CTV3
9OLZ.,Diabetes Monitoring Admin.nos,CTV3
C10..,Diabetes Mellitus,CTV3
C100.,Diabetes Mellitus With No Mention Of Complication,CTV3
C1000,"Diabetes Mellit: [Juv Type, No Mention Compl] Or [Insul Dep]",CTV3
C1001,"Diab Mell: [Adult Ons, No Ment Comp][Mat Onset][Non-Ins Dep]",CTV3
C100z,Diabetes Mellitus Nos With No Mention Of Complication,CTV3
C101.,Diabetic Ketoacidosis,CTV3
C1010,Type 1 Diabetes Mellitus With Ketoacidosis,CTV3
C1011,Type 2 Diabetes Mellitus With Ketoacidosis,CTV3
C101y,Other Specified Diabetes Mellitus With Ketoacidosis,CTV3
C101z,Diabetes Mellitus Nos With Ketoacidosis,CTV3
C102.,Diabetes Mellitus With Hyperosmolar Coma,CTV3
C1020,"Diabetes Mellitus, Juvenile Type, With Hyperosmolar Coma",CTV3
C1021,"Diabetes Mellitus, Adult Onset, With Hyperosmolar Coma",CTV3
C102z,Diabetes Mellitus Nos With Hyperosmolar Coma,CTV3
C103.,Diabetes Mellitus With Ketoacidotic Coma,CTV3
C1030,Type 1 Diabetes Mellitus With Ketoacidotic Coma,CTV3
C1031,Type Ii Diabetes Mellitus With Ketoacidotic Coma,CTV3
C103y,Other Specified Diabetes Mellitus With Coma,CTV3
C103z,Diabetes Mellitus Nos With Ketoacidotic Coma,CTV3
C104.,Diabetes Mellitus: [With Renal Manifestatn] Or [Nephropathy],CTV3
C1040,"Diabetes Mellitus, Juvenile Type, With Renal Manifestation",CTV3
C1041,"Diabetes Mellitus, Adult Onset, With Renal Manifestation",CTV3
C104y,Other Specified Diabetes Mellitus With Renal Complications,CTV3
C104z,Diabetes Mellitus With Nephropathy Nos,CTV3
C105.,Diabetes Mellitus With Ophthalmic Manifestation,CTV3
C1050,"Diabetes Mellitus, Juvenile Type, + Ophthalmic Manifestation",CTV3
C1051,"Diabetes Mellitus, Adult Onset, + Ophthalmic Manifestation",CTV3
C105y,Other Specified Diabetes Mellitus With Ophthalmic Complicatn,CTV3
C105z,Diabetes Mellitus Nos With Ophthalmic Manifestation,CTV3
C106.,Diab Mell + Neuro Manif: (& [Amyotroph][Neurop][Polyneurop]),CTV3
C1060,"Diabetes Mellitus, Juvenile, + Neurological Manifestation",CTV3
C1061,"Diabetes Mellitus, Adult Onset, + Neurological Manifestation",CTV3
C106y,Other Specified Diabetes Mellitus With Neurological Comps,CTV3
C106z,Diabetes Mellitus Nos With Neurological Manifestation,CTV3
C107.,Diabetes Mellitus With: [Gangrene] Or [Periph Circul Disord],CTV3
C1070,"Diabetes Mellitus, Juvenile +Peripheral Circulatory Disorder",CTV3
C1071,"Diabetes Mellitus, Adult, + Peripheral Circulatory Disorder",CTV3
C1072,"Diabetes Mellitus, Adult With Gangrene",CTV3
C1073,Iddm With Peripheral Circulatory Disorder,CTV3
C1074,Niddm With Peripheral Circulatory Disorder,CTV3
C107y,Other Specified Diabetes Mellitus With Periph Circ Comps,CTV3
C107z,Diabetes Mellitus Nos With Peripheral Circulatory Disorder,CTV3
C1080,Type I Diabetes Mellitus With Renal Complications,CTV3
C1081,Type I Diabetes Mellitus With Ophthalmic Complications,CTV3
C1082,Type I Diabetes Mellitus With Neurological Complications,CTV3
C1083,Type I Diabetes Mellitus With Multiple Complications,CTV3
C1085,Type I Diabetes Mellitus With Ulcer,CTV3
C1086,Type I Diabetes Mellitus With Gangrene,CTV3
C1087,Type I Diabetes Mellitus With Retinopathy,CTV3
C1088,Type I Diabetes Mellitus - Poor Control,CTV3
C1089,Type I Diabetes Mellitus Maturity Onset,CTV3
C108y,Other Specified Diabetes Mellitus With Multiple Comps,CTV3
C108z,Unspecified Diabetes Mellitus With Multiple Complications,CTV3
C109.,Type Ii Diabetes Mellitus,CTV3
C1090,Type Ii Diabetes Mellitus With Renal Complications,CTV3
C1091,Type Ii Diabetes Mellitus With Ophthalmic Complications,CTV3
C1092,Type Ii Diabetes Mellitus With Neurological Complications,CTV3
C1093,Type Ii Diabetes Mellitus With Multiple Complications,CTV3
C1094,Type Ii Diabetes Mellitus With Ulcer,CTV3
C1095,Type Ii Diabetes Mellitus With Gangrene,CTV3
C1096,Type Ii Diabetes Mellitus With Retinopathy,CTV3
C1097,Type Ii Diabetes Mellitus - Poor Control,CTV3
C10y.,Diabetes Mellitus With Other Specified Manifestation,CTV3
C10y0,"Diabetes Mellitus, Juvenile, + Other Specified Manifestation",CTV3
C10y1,"Diabetes Mellitus, Adult, + Other Specified Manifestation",CTV3
C10yy,Other Specified Diabetes Mellitus With Other Spec Comps,CTV3
C10yz,Diabetes Mellitus Nos With Other Specified Manifestation,CTV3
C10z.,Diabetes Mellitus With Unspecified Complication,CTV3
C10z0,"Diabetes Mellitus, Juvenile Type, + Unspecified Complication",CTV3
C10z1,"Diabetes Mellitus, Adult Onset, + Unspecified Complication",CTV3
C10zy,Other Specified Diabetes Mellitus With Unspecified Comps,CTV3
C10zz,Diabetes Mellitus Nos With Unspecified Complication,CTV3
C110.,Coma: [Hypoglycaemic] Or [Insulin],CTV3
C110z,Hypoglycaemic Coma Nos,CTV3
Cyu20,[X]Other Specified Diabetes Mellitus,CTV3
Cyu21,[X]Malnutrit-Relat Diabetes Mellitus With Other Spec Comps,CTV3
Cyu22,[X]Malnutrit-Related Diabetes Mellitus With Unspec Complics,CTV3
Cyu23,[X]Unspecified Diabetes Mellitus With Renal Complications,CTV3
F1711,Diabetic Autonomic Neuropathy,CTV3
F3450,Diabetic Mononeuritis Multiplex,CTV3
F35z0,Diabetic Mononeuritis Nos,CTV3
F372.,Diabetic Neuropathy &/Or Diabetic Polyneuropathy,CTV3
F3720,Acute Painful Diabetic Neuropathy,CTV3
F3721,Chronic Painful Diabetic Neuropathy,CTV3
F3722,Asymptomatic Diabetic Neuropathy,CTV3
F3813,(Myasth Syndr Due To Diab Amyotroph) Or (Diab Amyotroph),CTV3
F3y0.,Diabetic Mononeuropathy,CTV3
F420.,Diabetic Retinopathy,CTV3
F4200,Background Diabetic Retinopathy,CTV3
F4201,Proliferative Diabetic Retinopathy,CTV3
F4202,Preproliferative Diabetic Retinopathy,CTV3
F4203,Advanced Diabetic Maculopathy,CTV3
F420z,Diabetic Retinopathy Nos,CTV3
F4407,Diabetic Iritis,CTV3
F4640,Diabetic Cataract,CTV3
G73y0,Diabetic Peripheral Angiopathy,CTV3
K01x1,Nephrotic Syndrome In Diabetes Mellitus,CTV3
Kyu03,[X]Glomerular Disorders In Diabetes Mellitus,CTV3
Lyu29,"[X]Pre-Existing Diabetes Mellitus, Unspecified",CTV3
M0372,Cellulitis In Diabetic Foot,CTV3
M2710,Ischaemic Ulcer Diabetic Foot,CTV3
M2711,Neuropathic Diabetic Ulcer - Foot,CTV3
M2712,Mixed Diabetic Ulcer - Foot,CTV3
N0300,Diabetic Hand Syndrome,CTV3
N0301,Diabetic Neuropathic Arthropathy,CTV3
Q441.,Neonatal Diabetes Mellitus,CTV3
R0542,[D]Gangrene Of Toe In Diabetic,CTV3
R0543,[D]Widespread Diabetic Foot Gangrene,CTV3
X00Ag,Diabetic Neuropathy,CTV3
X00Ah,Diabetic Distal Sensorimotor Polyneuropathy,CTV3
X00Ai,Diabetic Acute Painful Polyneuropathy,CTV3
X00Aj,Diabetic Chronic Painful Polyneuropathy,CTV3
X00Ak,Diabetic Asymmetric Polyneuropathy,CTV3
X00Al,Diabetic Mononeuropathy,CTV3
X00Am,Diabetic Truncal Radiculopathy,CTV3
X00An,Diabetic Thoracic Radiculopathy,CTV3
X00dF,Visually Threatening Diabetic Retinopathy,CTV3
X00dG,Diabetic Maculopathy,CTV3
X00dH,Proliferative Diabetic Retinopathy New Vessels On Disc,CTV3
X00dI,Proliferative Diabet Retinop New Vessel Elsewhere Than Disc,CTV3
X00dJ,Diabetic Traction Retinal Detachment,CTV3
X30Kk,Diabetic Nephropathy,CTV3
X30Kl,Microalbuminuric Diabetic Nephropathy,CTV3
X30Km,Proteinuric Diabetic Nephropathy,CTV3
X40J4,Type I Diabetes Mellitus,CTV3
X40J5,Type Ii Diabetes Mellitus,CTV3
X40J6,Insulin Treated Type 2 Diabetes Mellitus,CTV3
X40JG,Genetic Syndromes Of Diabetes Mellitus,CTV3
X40JI,Diabetes Mellitus Autosomal Dominant,CTV3
X40JJ,Diabetes Mellitus Autosomal Dominant Type 2,CTV3
X40JV,"Hypogonadism,Diab Mell,Alopec,Ment Retar Electro Abnorm",CTV3
X40JW,"Megaloblastic Anaemia,Diab Mell And Sensorineural Deafness",CTV3
X40JX,"Pineal Hyperplasia,Ins Res Diab Mell And Somatic Abnorm",CTV3
X40JY,Insulin-Dependent Diabetes Mellitus Secretory Diarrhoea Synd,CTV3
X40JZ,Diabetes-Deafness Syndrome Maternally Transmitted,CTV3
X40Ja,Abnormal Metabolic State In Diabetes Mellitus,CTV3
X40Jb,Diabetic Severe Hyperglycaemia,CTV3
X40Jc,Poor Glycaemic Control,CTV3
X40Je,Acute Hyperglycaemia,CTV3
X40Jj,Pregnancy And Insulin-Dependent Diabetes Mellitus,CTV3
X40Jk,Pregnancy And Non-Insulin-Dependent Diabetes Mellitus,CTV3
X40Jo,Insulin Coma,CTV3
X40Jq,Hypoglycaemic Event In Diabetes,CTV3
X40Jr,Hypoglycaemic State In Diabetes,CTV3
X40Js,Somogyi Phenomenon,CTV3
X40Jt,Nocturnal Hypoglycaemia,CTV3
X40KG,Insulin Resistance In Diabetes,CTV3
X50E7,Insulin Lipohypertrophy,CTV3
X50GO,Soft Tissue Complication Of Diabetes Mellitus,CTV3
X50GP,Diabetic Dermopathy,CTV3
X50GQ,Diabetic Bulla,CTV3
X50GR,Diabetic Thick Skin Syndrome,CTV3
X50GT,Diabetic Rubeosis,CTV3
X74WS,Diabetic Monitoring Status,CTV3
XE10E,"Diabetes Mellitus, Juvenile Type, No Mention Of Complication",CTV3
XE10F,"Diabetes Mellitus, Adult Onset, No Mention Of Complication",CTV3
XE10G,Diabetes Mellitus With Renal Manifestation,CTV3
XE10H,Diabetes Mellitus With Neurological Manifestation,CTV3
XE10I,Diabetes Mellitus With Peripheral Circulatory Disorder,CTV3
XE10J,Hypoglycaemic Coma,CTV3
XE128,Diabetes Mellitus (& [Ketoacidosis]),CTV3
XE12A,Diabetes Mellitus: [Adult Onset] Or [Noninsulin Dependent],CTV3
XE12C,Diabetes Mellitus: [Juvenile] Or [Insulin Dependent],CTV3
XE12E,Diabetes + Nephropathy (& [Kimmelstiel-Wilson Syndrome]),CTV3
XE12G,Diabetes + Eye Manifestation (& [Cataract] Or [Retinopathy]),CTV3
XE12I,Diabetes + Neuropathy (& [Amyotrophy]),CTV3
