code,description,type
14A2.,H/O: Hypertension,CTV3
21261,Hypertension Resolved,CTV3
2466.,O/E - Bp Reading Raised,CTV3
2467.,O/E - Bp Reading Very High,CTV3
662..,Cardiac Disease Monitoring (& [Hypertension]),CTV3
6627.,Good Hypertension Control,CTV3
6628.,Poor Hypertension Control,CTV3
6629.,Hypertension:follow-Up Default,CTV3
662F.,Hypertension Treatm. Started,CTV3
662G.,Hypertensive Treatm.changed,CTV3
662H.,Hypertension Treatm.stopped,CTV3
662O.,On Treatment For Hypertension,CTV3
662P.,Hypertension Monitoring,CTV3
8HT5.,Referral To Hypertension Clinic,CTV3
9N03.,Seen In Hypertension Clinic,CTV3
9N1y2,Seen In Hypertension Clinic,CTV3
9OI..,Hypertension Admin: [Monitoring] Or [Clinic],CTV3
9OI1.,Attends Hypertension Monitoring,CTV3
9OI3.,Hypertension Monitoring Offer Default,CTV3
9OI4.,Hypertension Monitoring First Letter,CTV3
9OI4.,Hypertension Monitoring First Letter,CTV3
9OI5.,Hypertension Monitoring Second Letter,CTV3
9OI5.,Hypertension Monitoring Second Letter,CTV3
9OI6.,Hypertension Monitoring Third Letter,CTV3
9OI6.,Hypertension Monitoring Third Letter,CTV3
9OI7.,Hypertension Monitoring Verbal Invite,CTV3
9OI7.,Hypertension Monitoring Verbal Invite,CTV3
9OI8.,Hypertension Monitoring Telephone Invite,CTV3
9OI8.,Hypertension Monitoring Telephone Invite,CTV3
9OIA.,Hypertension Monitor (& Check Done),CTV3
9OIZ.,Hypertens.monitoring Admin.nos,CTV3
F4211,Hypertensive Retinopathy,CTV3
G2...,Hypertensive Disease,CTV3
G2...,Hypertensive Disease,CTV3
G2...,Hypertensive Disease,CTV3
G20..,High Blood Pressure (& [Essential Hypertension]),CTV3
G20..,High Blood Pressure (& [Essential Hypertension]),CTV3
G200.,Malignant Essential Hypertension,CTV3
G200.,Malignant Essential Hypertension,CTV3
G201.,Benign Essential Hypertension,CTV3
G201.,Benign Essential Hypertension,CTV3
G202.,Systolic Hypertension,CTV3
G202.,Systolic Hypertension,CTV3
G20z.,Hypertension Nos (& [Essential]),CTV3
G20z.,Hypertension Nos (& [Essential]),CTV3
G21..,Hypertensive Heart Disease,CTV3
G21..,Hypertensive Heart Disease,CTV3
G210.,Malignant Hypertensive Heart Disease,CTV3
G210.,Malignant Hypertensive Heart Disease,CTV3
G2100,Malignant Hypertensive Heart Disease Without Ccf,CTV3
G2100,Malignant Hypertensive Heart Disease Without Ccf,CTV3
G2101,Malignant Hypertensive Heart Disease With Ccf,CTV3
G2101,Malignant Hypertensive Heart Disease With Ccf,CTV3
G210z,Malignant Hypertensive Heart Disease Nos,CTV3
G210z,Malignant Hypertensive Heart Disease Nos,CTV3
G211.,Benign Hypertensive Heart Disease,CTV3
G211.,Benign Hypertensive Heart Disease,CTV3
G2110,Benign Hypertensive Heart Disease Without Ccf,CTV3
G2110,Benign Hypertensive Heart Disease Without Ccf,CTV3
G2111,Benign Hypertensive Heart Disease With Ccf,CTV3
G2111,Benign Hypertensive Heart Disease With Ccf,CTV3
G211z,Benign Hypertensive Heart Disease Nos,CTV3
G211z,Benign Hypertensive Heart Disease Nos,CTV3
G21z.,Hypertensive Heart Disease Nos,CTV3
G21z.,Hypertensive Heart Disease Nos,CTV3
G21z0,"Hypertensiv:[Cardiomeg][Heart Dis Nos, No Congest Card Fail]",CTV3
G21z0,"Hypertensiv:[Cardiomeg][Heart Dis Nos, No Congest Card Fail]",CTV3
G21z1,Hypertensive Heart Disease Nos With Ccf,CTV3
G21z1,Hypertensive Heart Disease Nos With Ccf,CTV3
G22..,Hypertensive Renal Disease (& [Nephrosclerosis]),CTV3
G220.,Malignant Hypertensive Renal Disease,CTV3
G221.,Benign Hypertensive Renal Disease,CTV3
G222.,Hypertensive Renal Disease With Renal Failure,CTV3
G22z.,(Renal Hypertension) Or (Hypertensive Renal Disease Nos),CTV3
G23..,Hypertensive Heart And Renal Disease,CTV3
G23..,Hypertensive Heart And Renal Disease,CTV3
G230.,Malignant Hypertensive Heart And Renal Disease,CTV3
G230.,Malignant Hypertensive Heart And Renal Disease,CTV3
G231.,Benign Hypertensive Heart And Renal Disease,CTV3
G231.,Benign Hypertensive Heart And Renal Disease,CTV3
G232.,Hypertensive Heart&Renal Dis Wth (Congestive) Heart Failure,CTV3
G232.,Hypertensive Heart&Renal Dis Wth (Congestive) Heart Failure,CTV3
G233.,Hypertensive Heart And Renal Disease With Renal Failure,CTV3
G233.,Hypertensive Heart And Renal Disease With Renal Failure,CTV3
G234.,Hyperten Heart&Renal Dis+Both(Congestv)Heart And Renal Fail,CTV3
G234.,Hyperten Heart&Renal Dis+Both(Congestv)Heart And Renal Fail,CTV3
G23z.,Hypertensive Heart And Renal Disease Nos,CTV3
G23z.,Hypertensive Heart And Renal Disease Nos,CTV3
G24..,Secondary Hypertension,CTV3
G24..,Secondary Hypertension,CTV3
G240.,Malignant Secondary Hypertension,CTV3
G240.,Malignant Secondary Hypertension,CTV3
G2400,Secondary Malignant Renovascular Hypertension,CTV3
G2400,Secondary Malignant Renovascular Hypertension,CTV3
G240z,Secondary Malignant Hypertension Nos,CTV3
G240z,Secondary Malignant Hypertension Nos,CTV3
G241.,Secondary Benign Hypertension,CTV3
G241.,Secondary Benign Hypertension,CTV3
G2410,Secondary Benign Renovascular Hypertension,CTV3
G2410,Secondary Benign Renovascular Hypertension,CTV3
G241z,Secondary Benign Hypertension Nos,CTV3
G241z,Secondary Benign Hypertension Nos,CTV3
G244.,Hypertension Secondary To Endocrine Disorders,CTV3
G244.,Hypertension Secondary To Endocrine Disorders,CTV3
G24z.,Secondary Hypertension Nos,CTV3
G24z.,Secondary Hypertension Nos,CTV3
G24z0,Secondary Renovascular Hypertension Nos,CTV3
G24z0,Secondary Renovascular Hypertension Nos,CTV3
G24zz,Secondary Hypertension Nos,CTV3
G24zz,Secondary Hypertension Nos,CTV3
G2y..,Other Specified Hypertensive Disease,CTV3
G2y..,Other Specified Hypertensive Disease,CTV3
G2z..,Hypertensive Disease Nos,CTV3
